"lat_dec","lon_dec","hour_dec","boatspeed_mph","turbidity_ntu","sp_cond_ms_cm","pH","wtemp_c","B3","B4","ndti","ndti_flag","class"
33.75133,-98.38242,9.843784,23.92413,13.80351,614.1023,8.8,29.6642,888,561,-0.2256729,0,"water"
33.75139,-98.38234,9.844009,24.12941,13.83542,614.0833,8.8,29.66023,886,544,-0.2391608,0,"water"
33.75146,-98.38226,9.844233,24.34759,13.89316,614.1111,8.8,29.65675,864,538,-0.232525,0,"water"
33.75151,-98.38218,9.844453,24.50334,13.9584,614.2011,8.8,29.65184,882,532,-0.2475248,0,"water"
33.75158,-98.3821,9.844675,24.58297,13.99953,614.2276,8.8,29.65582,882,547,-0.2344297,0,"water"
33.75163,-98.38201,9.844896,24.7252,14.05528,614.2542,8.8,29.65458,861,556,-0.2152435,0,"water"
33.75169,-98.38193,9.845117,24.84221,14.09459,614.2808,8.8,29.65192,867,536,-0.235923,0,"water"
33.75175,-98.38185,9.845339,24.9,14.11,614.3254,8.8,29.64927,865,538,-0.233072,0,"water"
33.7518,-98.38176,9.84556,24.9,14.10904,614.4176,8.8,29.64662,865,538,-0.233072,0,"water"
33.75186,-98.38167,9.845776,24.9,14.05438,614.4696,8.8,29.64402,870,540,-0.2340426,0,"water"
33.75191,-98.38159,9.84599,24.95644,14.06352,614.5022,8.8,29.64145,858,534,-0.2327586,0,"water"
33.75196,-98.3815,9.846203,25,14.13274,614.5661,8.8,29.6389,854,526,-0.2376812,0,"water"
33.75202,-98.38141,9.846415,25.00929,14.24906,614.6729,8.8,29.63713,868,530,-0.241774,0,"water"
33.75206,-98.38132,9.846626,25.08536,14.35048,614.7235,8.8,29.64094,868,530,-0.241774,0,"water"
33.75211,-98.38122,9.846843,25.1,14.37848,614.7227,8.8,29.64697,862,528,-0.2402878,0,"water"
33.75215,-98.38113,9.84706,25.1,14.3958,614.6959,8.8,29.64654,869,540,-0.2334989,0,"water"
33.7522,-98.38104,9.847273,25.1184,14.44492,614.6728,8.8,29.63952,861,542,-0.2273699,0,"water"
33.75225,-98.38095,9.847483,25.19405,14.57479,614.698,8.8,29.63069,868,544,-0.2294618,0,"water"
33.75229,-98.38085,9.847692,25.2,14.69923,614.6654,8.8,29.62769,872,534,-0.2403983,0,"water"
33.75233,-98.38075,9.847906,25.15409,14.81504,614.5735,8.8,29.62897,868,522,-0.2489209,0,"water"
33.75237,-98.38066,9.848123,25.1,14.89731,614.4551,8.8,29.63368,870,526,-0.2464183,0,"water"
33.75241,-98.38057,9.848343,25.1,14.91465,614.3685,8.8,29.63971,870,526,-0.2464183,0,"water"
33.75246,-98.38047,9.848559,25.1,14.90687,614.4073,8.8,29.63323,854,511,-0.2512821,0,"water"
33.7525,-98.38037,9.848775,25.1,14.83518,614.4659,8.8,29.62478,866,520,-0.2496392,0,"water"
33.75254,-98.38028,9.84899,25.13643,14.71806,614.5,8.8,29.61879,868,527,-0.2444444,0,"water"
33.75258,-98.38018,9.849204,25.2,14.58888,614.5,8.8,29.61734,846,506,-0.2514793,0,"water"
33.75262,-98.38008,9.849418,25.2,14.53493,614.5,8.8,29.6212,836,524,-0.2294118,0,"water"
33.75265,-98.37998,9.849628,25.2,14.55592,614.4449,8.8,29.62167,856,532,-0.2334294,0,"water"
33.75269,-98.37988,9.84984,25.2,14.5856,614.3671,8.8,29.61671,864,512,-0.255814,0,"water"
33.75273,-98.37979,9.850055,25.2,14.58804,614.2771,8.8,29.60935,857,535,-0.2313218,0,"water"
33.75277,-98.37969,9.850269,25.2,14.51482,614.1872,8.8,29.60678,857,535,-0.2313218,0,"water"
33.75281,-98.37959,9.850483,25.2,14.40719,614.1342,8.8,29.60421,869,536,-0.2370107,0,"water"
33.75285,-98.37949,9.850697,25.2,14.32512,614.0997,8.8,29.60164,828,535,-0.214967,0,"water"
33.75288,-98.3794,9.850912,25.2,14.27929,614.0643,8.8,29.59905,861,538,-0.2308792,0,"water"
33.75292,-98.3793,9.851131,25.2,14.27476,614.0203,8.8,29.59643,893,538,-0.2480783,0,"water"
33.75296,-98.37921,9.851347,25.2,14.29031,614.0592,8.8,29.59383,883,546,-0.2358293,0,"water"
33.75301,-98.37911,9.851563,25.2,14.26932,614.098,8.8,29.59124,885,558,-0.2266112,0,"water"
33.75305,-98.37901,9.851777,25.2,14.20557,614.1826,8.8,29.58868,888,548,-0.2367688,0,"water"
33.75309,-98.37892,9.851988,25.2,14.09564,614.3018,8.8,29.58746,884,544,-0.2380952,0,"water"
33.75313,-98.37882,9.852202,25.2,13.92866,614.3917,8.8,29.59132,890,557,-0.2301313,0,"water"
